title,text,source,label
Miracle Herb Cures All Diseases Overnight,A viral article claims that hidden cure for cancer discovered in remote forest and that authorities are hiding this information from the public.,HealthSecretsDaily,fake
Agriculture Ministry Announces Farmer Support Program,A detailed report explains how the government announces new healthcare policy will impact communities and improve public services according to experts.,Economic Times,real
Hidden Cure For Cancer Discovered In Remote Forest,A viral article claims that scientists confirm humans can live without sleep and that authorities are hiding this information from the public.,TruthRevealed,fake
Technology Company Unveils Ai Research Initiative,A detailed report explains how the education ministry releases new guidelines will impact communities and improve public services according to experts.,The Hindu,real
Researchers Publish Medical Study,A detailed report explains how the technology company unveils AI research initiative will impact communities and improve public services according to experts.,Associated Press,real
Magic Oil Makes Humans Live For 200 Years,A viral article claims that mysterious stone grants unlimited energy and that authorities are hiding this information from the public.,GlobalTruthDaily,fake
Technology Company Unveils Ai Research Initiative,A detailed report explains how the city launches smart traffic system will impact communities and improve public services according to experts.,The Hindu,real
Agriculture Ministry Announces Farmer Support Program,A detailed report explains how the technology company unveils AI research initiative will impact communities and improve public services according to experts.,Economic Times,real
New Railway Project Launched,A detailed report explains how the technology company unveils AI research initiative will impact communities and improve public services according to experts.,Economic Times,real
Environment Report Warns About Climate Change,A detailed report explains how the central bank updates interest rates will impact communities and improve public services according to experts.,NDTV,real
Magic Oil Makes Humans Live For 200 Years,A viral article claims that aliens secretly met world leaders and that authorities are hiding this information from the public.,SecretWorldReport,fake
Miracle Herb Cures All Diseases Overnight,A viral article claims that magic oil makes humans live for 200 years and that authorities are hiding this information from the public.,ViralNewsHub,fake
Aliens Secretly Met World Leaders,A viral article claims that aliens secretly met world leaders and that authorities are hiding this information from the public.,GlobalTruthDaily,fake
Magic Oil Makes Humans Live For 200 Years,A viral article claims that aliens secretly met world leaders and that authorities are hiding this information from the public.,SecretWorldReport,fake
Mysterious Stone Grants Unlimited Energy,A viral article claims that ancient fruit can regrow human organs and that authorities are hiding this information from the public.,SecretWorldReport,fake
Government Announces New Healthcare Policy,A detailed report explains how the education ministry releases new guidelines will impact communities and improve public services according to experts.,NDTV,real
Researchers Publish Medical Study,A detailed report explains how the education ministry releases new guidelines will impact communities and improve public services according to experts.,Al Jazeera,real
Environment Report Warns About Climate Change,A detailed report explains how the new railway project launched will impact communities and improve public services according to experts.,Associated Press,real
Hidden Cure For Cancer Discovered In Remote Forest,A viral article claims that ancient fruit can regrow human organs and that authorities are hiding this information from the public.,TruthRevealed,fake
Education Ministry Releases New Guidelines,A detailed report explains how the education ministry releases new guidelines will impact communities and improve public services according to experts.,The Hindu,real
Mysterious Stone Grants Unlimited Energy,A viral article claims that aliens secretly met world leaders and that authorities are hiding this information from the public.,HealthSecretsDaily,fake
Scientists Discover New Exoplanet,A detailed report explains how the scientists discover new exoplanet will impact communities and improve public services according to experts.,The Hindu,real
Miracle Herb Cures All Diseases Overnight,A viral article claims that scientists confirm humans can live without sleep and that authorities are hiding this information from the public.,Unknown Blog,fake
Magic Oil Makes Humans Live For 200 Years,A viral article claims that aliens secretly met world leaders and that authorities are hiding this information from the public.,Unknown Blog,fake
Doctors Hate This One Plant Because It Cures Everything,A viral article claims that ancient fruit can regrow human organs and that authorities are hiding this information from the public.,GlobalTruthDaily,fake
Agriculture Ministry Announces Farmer Support Program,A detailed report explains how the agriculture ministry announces farmer support program will impact communities and improve public services according to experts.,BBC,real
Ancient Fruit Can Regrow Human Organs,A viral article claims that aliens secretly met world leaders and that authorities are hiding this information from the public.,ViralNewsHub,fake
Aliens Secretly Met World Leaders,A viral article claims that aliens secretly met world leaders and that authorities are hiding this information from the public.,SecretWorldReport,fake
Viral Video Claims Teleportation Device Discovered,A viral article claims that ancient fruit can regrow human organs and that authorities are hiding this information from the public.,TruthRevealed,fake
City Launches Smart Traffic System,A detailed report explains how the scientists discover new exoplanet will impact communities and improve public services according to experts.,Reuters,real
Mysterious Stone Grants Unlimited Energy,A viral article claims that miracle herb cures all diseases overnight and that authorities are hiding this information from the public.,GlobalTruthDaily,fake
Aliens Secretly Met World Leaders,A viral article claims that mysterious stone grants unlimited energy and that authorities are hiding this information from the public.,Unknown Blog,fake
Mysterious Stone Grants Unlimited Energy,A viral article claims that doctors hate this one plant because it cures everything and that authorities are hiding this information from the public.,ViralNewsHub,fake
New Railway Project Launched,A detailed report explains how the environment report warns about climate change will impact communities and improve public services according to experts.,BBC,real
Ancient Fruit Can Regrow Human Organs,A viral article claims that doctors hate this one plant because it cures everything and that authorities are hiding this information from the public.,ViralNewsHub,fake
New Railway Project Launched,A detailed report explains how the technology company unveils AI research initiative will impact communities and improve public services according to experts.,Reuters,real
Central Bank Updates Interest Rates,A detailed report explains how the agriculture ministry announces farmer support program will impact communities and improve public services according to experts.,The Hindu,real
Miracle Herb Cures All Diseases Overnight,A viral article claims that hidden cure for cancer discovered in remote forest and that authorities are hiding this information from the public.,ViralNewsHub,fake
Hidden Cure For Cancer Discovered In Remote Forest,A viral article claims that scientists confirm humans can live without sleep and that authorities are hiding this information from the public.,Unknown Blog,fake
Education Ministry Releases New Guidelines,A detailed report explains how the agriculture ministry announces farmer support program will impact communities and improve public services according to experts.,NDTV,real
Government Announces New Healthcare Policy,A detailed report explains how the city launches smart traffic system will impact communities and improve public services according to experts.,BBC,real
Scientists Discover New Exoplanet,A detailed report explains how the scientists discover new exoplanet will impact communities and improve public services according to experts.,Reuters,real
Ancient Fruit Can Regrow Human Organs,A viral article claims that hidden cure for cancer discovered in remote forest and that authorities are hiding this information from the public.,GlobalTruthDaily,fake
Environment Report Warns About Climate Change,A detailed report explains how the new railway project launched will impact communities and improve public services according to experts.,The Hindu,real
Mysterious Stone Grants Unlimited Energy,A viral article claims that aliens secretly met world leaders and that authorities are hiding this information from the public.,ViralNewsHub,fake
Magic Oil Makes Humans Live For 200 Years,A viral article claims that miracle herb cures all diseases overnight and that authorities are hiding this information from the public.,SecretWorldReport,fake
City Launches Smart Traffic System,A detailed report explains how the new railway project launched will impact communities and improve public services according to experts.,Al Jazeera,real
Aliens Secretly Met World Leaders,A viral article claims that doctors hate this one plant because it cures everything and that authorities are hiding this information from the public.,ViralNewsHub,fake
Secret Government Machine Controls Earthquakes,A viral article claims that mysterious stone grants unlimited energy and that authorities are hiding this information from the public.,ViralNewsHub,fake
Ancient Fruit Can Regrow Human Organs,A viral article claims that ancient fruit can regrow human organs and that authorities are hiding this information from the public.,GlobalTruthDaily,fake
Scientists Discover New Exoplanet,A detailed report explains how the education ministry releases new guidelines will impact communities and improve public services according to experts.,Reuters,real
Government Announces New Healthcare Policy,A detailed report explains how the city launches smart traffic system will impact communities and improve public services according to experts.,Economic Times,real
Researchers Publish Medical Study,A detailed report explains how the new railway project launched will impact communities and improve public services according to experts.,BBC,real
Central Bank Updates Interest Rates,A detailed report explains how the city launches smart traffic system will impact communities and improve public services according to experts.,Reuters,real
Education Ministry Releases New Guidelines,A detailed report explains how the environment report warns about climate change will impact communities and improve public services according to experts.,BBC,real
Agriculture Ministry Announces Farmer Support Program,A detailed report explains how the education ministry releases new guidelines will impact communities and improve public services according to experts.,BBC,real
City Launches Smart Traffic System,A detailed report explains how the researchers publish medical study will impact communities and improve public services according to experts.,BBC,real
Viral Video Claims Teleportation Device Discovered,A viral article claims that secret government machine controls earthquakes and that authorities are hiding this information from the public.,ViralNewsHub,fake
Aliens Secretly Met World Leaders,A viral article claims that aliens secretly met world leaders and that authorities are hiding this information from the public.,Unknown Blog,fake
Environment Report Warns About Climate Change,A detailed report explains how the scientists discover new exoplanet will impact communities and improve public services according to experts.,The Hindu,real
Ancient Fruit Can Regrow Human Organs,A viral article claims that hidden cure for cancer discovered in remote forest and that authorities are hiding this information from the public.,GlobalTruthDaily,fake
Hidden Cure For Cancer Discovered In Remote Forest,A viral article claims that aliens secretly met world leaders and that authorities are hiding this information from the public.,Unknown Blog,fake
Secret Government Machine Controls Earthquakes,A viral article claims that miracle herb cures all diseases overnight and that authorities are hiding this information from the public.,GlobalTruthDaily,fake
Miracle Herb Cures All Diseases Overnight,A viral article claims that scientists confirm humans can live without sleep and that authorities are hiding this information from the public.,TruthRevealed,fake
Agriculture Ministry Announces Farmer Support Program,A detailed report explains how the agriculture ministry announces farmer support program will impact communities and improve public services according to experts.,Reuters,real
Agriculture Ministry Announces Farmer Support Program,A detailed report explains how the scientists discover new exoplanet will impact communities and improve public services according to experts.,Reuters,real
City Launches Smart Traffic System,A detailed report explains how the education ministry releases new guidelines will impact communities and improve public services according to experts.,Al Jazeera,real
Central Bank Updates Interest Rates,A detailed report explains how the new railway project launched will impact communities and improve public services according to experts.,Reuters,real
Central Bank Updates Interest Rates,A detailed report explains how the city launches smart traffic system will impact communities and improve public services according to experts.,BBC,real
Viral Video Claims Teleportation Device Discovered,A viral article claims that viral video claims teleportation device discovered and that authorities are hiding this information from the public.,HealthSecretsDaily,fake
